Time,Air Temperature ,Azimuth Angle ,Cloud Opacity,Dew Point Temperature ,DHI (Diffuse Horizontal Irradiance) ,DNI (Direct Normal Irradiance) ,GHI (Global Horizontal Irradiance) ,GTI (Fixed Tilt Irradiance) W/m²,GTI (Tracking Tilt Irradiance),Precipitable Water ,Relative Humidity ,Snow Depth ,Surface Pressure ,Wind Direction at 10m ,Wind Speed at 10m ,Zenith Angle ,P_actual
2021/01/01 00:00,-11.57,82.1,0,-25.44,0,0,0,0,0,2.51,34.82,0,863.31,113.75,2.31,150.35,0
2021/01/01 00:15,-12.45,66.77,0,-23.83,0,0,0,0,0,2.38,38.37,0,910.04,123.46,2.22,130.79,0
2021/01/01 00:30,-14.31,64.66,0,-23.5,0,0,0,0,0,2.29,34.32,0,929.31,107.76,2.35,132.49,0
2021/01/01 00:45,-13.44,71.49,0,-27.16,0,0,0,0,0,2.33,38.75,0,790.14,110.75,2.4,136.18,0
2021/01/01 01:00,-14.73,55.06,0,-27.41,0,0,0,0,0,2.63,38.73,0,817.68,131.47,2.33,147.27,0
2021/01/01 01:15,-12.54,52.15,0,-26.7,0,0,0,0,0,2.59,39.19,0,836.17,121.94,2.72,151.97,0
2021/01/01 01:30,-12.47,51.33,0,-24.75,0,0,0,0,0,2.2,40.57,0,857.23,126.53,2.51,147.17,0
2021/01/01 01:45,-12.98,43.22,0,-24.99,0,0,0,0,0,2.35,38.32,0,799.2,130.58,2.59,152.02,0
2021/01/01 02:00,-12.89,34.02,0,-24.95,0,0,0,0,0,2.54,40.31,0,815.47,132.12,2.37,169.58,0
2021/01/01 02:15,-13.4,21.66,0,-22.97,0,0,0,0,0,2.61,35.89,0,769.77,118.46,2.81,175.38,0
2021/01/01 02:30,-14.2,14.25,0,-23.28,0,0,0,0,0,2.4,39.2,0,847.68,133.11,2.49,167.6,0
2021/01/01 02:45,-14.47,4.01,0,-26.82,0,0,0,0,0,2.38,42.96,0,851.5,140.75,2.83,163.08,0
2021/01/01 03:00,-13.1,-6.16,0,-23.7,0,0,0,0,0,2.2,40.71,0,780.97,131.78,2.79,161.2,0
2021/01/01 03:15,-12.82,-16.64,0,-23.53,0,0,0,0,0,2.58,36.86,0,868.56,126.73,2.84,161.19,0
2021/01/01 03:30,-14.33,-27.5,0,-25.51,0,0,0,0,0,2.49,40.01,0,805.24,145.94,2.96,173.53,0
